Name,Acronym,Deadline,Conf Date,Core
IEEE International Conference on Data Mining,ICDM,01/07/2024,09/12/2024,A*
Conference on Emerging Network Experiment and Technology,CoNEXT,,,A
IEEE Wireless Communications and Networking Conference,WCNC,02/09/2024,24/03/2025,B
Measurement and Modeling of Computer Systems,SIGMETRICS,09/10/2024,09/06/2025,A*
SPIE Medical Imaging,,,,
International Symposium on Parallel and Distributed Processing,IPDPS,03/10/2024,03/06/2025,A
International Conference on High Performance Computing,HiPC,19/06/2024,18/12/2024,National: India
IEEE International Conference on Cloud Computing and Big Data Analytics,ICCCBDA,05/12/2024,25/04/2025,
International Conference on Advances in Social Network Analysis and Mining,,,,
IEEE International Conference on Communications,MICC,01/10/2027 0:00,03/10/2024,Regional
Computer Aided Verification,CAV,,,A*
Vehicular Technology Conference,VTC,22/04/2024,07/10/2024,B
International Conference on Dependable Systems and Networks,DSN,29/11/2024,23/06/2025,A
Human-Robot Interaction,HRI,,,A
Machine Learning in Medical Imaging,,,,
Mining Software Repositories,MSR,,,A
SIAM International Conference on Data Mining,SDM,,,A
Symposium on Applied Computing,SAC,20/09/2024,31/03/2025,Multiconference
Annual Computer Security Applications Conference,ACSAC,,,A
ACM Symposium on Operating Systems Principles,SOSP,16/04/2025,04/11/2024,A*
ACM International Conference on Multimodal Interaction,ICMI,,,B
Embedded Network Sensor Systems,,,,
International Conference on Multimedia Retrieval,ICMR,,,B
Principles and Practice of Parallel Programming,PPoPP,16/08/2024,01/03/2025,B
European Conference on Information Retrieval,ECIR,,,A
ACM International Conference on Mobile Computing and Networking,MobiCom,05/03/2025,,
Designing Interactive Systems,DIS,,,A
"Trust, Security And Privacy In Computing And Communications",,,,
Sensor and Ad Hoc Communications and Networks,,,,
ACM Conference on Economics and Computation,EC,,,A*
International Geoscience and Remote Sensing Symposium,IGARSS,,,C
European Chapter of the Association for Computational Linguistics,,,,
Globecom Workshops,GC Wkshps,15/07/2024,08/12/2024,
International Conference on Weblogs and Social Media,,,,
International Conference on Biometric Engineering and Applications,,,,
Field-Programmable Custom Computing Machines,,,,
Cyber-Physical Systems,ICCPS,31/10/2024,06/05/2025,
"International Conference Science, Management, and Engineering",,,,
"Asilomar Conference on Signals, Systems and Computers",,,,
Pervasive Computing and Communications,PERCOM,,,A*
IEEE Virtual Reality Conference,,,,
International Conference on Document Analysis and Recognition,ICDAR,,,A
ACM Multimedia Systems,MMSYS,27/09/2024,31/03/2025,
Symposium on Cloud Computing,SoCC,15/07/2024,20/11/2024,
Principles of Distributed Computing,PODC,,,A*
Conference on Innovative Data Systems Research,CIDR,,,A
"International Conference on Software Testing, Verification, and Validation",,,,
Symposium on Principles of Programming Languages,POPL,,,A*
Cryptographic Hardware and Embedded Systems,CHES,,,A
International Conference on Machine Learning and Applications,ICMLA,31/07/2024,18/12/2024,C
Business Process Management,BPM,,,A
Odyssey: The Speaker and Language Recognition Workshop,,,,
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,15/11/2024,09/06/2025,B
IEEE World Forum on Internet of Things,WF-IoT,01/04/2024,10/11/2024,
International Conference on Information Fusion,FUSION,,,C
International Conference on Supercomputing,ICS,18/01/2024,04/06/2024,A
Empirical Software Engineering and Measurement,ESEM,07/04/2025,24/10/2024,A
"Allerton Conference on Communication, Control, and Computing",,,,
High Performance Distributed Computing,HPDC,25/01/2024,03/06/2024,A
ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,01/01/2025,,A
International Conference on Practice and Theory of Public-Key Cryptography,,,,
International Conference on Computational Photography,ICCP,07/03/2025,21/07/2025,National: Romania
"Biometrics: Theory, Applications and Systems",,,,
Data and Application Security and Privacy,,,,
International Semantic Web Conference,ISWC,,,A
Special Interest Group on Discourse and Dialogue,,,,
Conference on Advanced Information Systems Engineering,CaiSE,,,A
"IEEE International Conference on Systems, Man and Cybernetics",,,,
International Conference on Neural Information Processing,ICONIP,,,B
Extending Database Technology,EDBT,,,A
Ubiquitous Computing,,18/05/2025,,
International Symposium on Mixed and Augmented Reality,ISMAR,,,A*
IEEE Conference on Network Softwarization,NetSoft,07/01/2025,23/06/2025,B
Asia and South Pacific Design Automation Conference,ASP-DAC,12/07/2024,20/01/2025,
Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,,,B
IEEE International Conference on Blockchain,ICBC,23/12/2024,02/06/2025,C
Web Science,,,,
Database Systems for Advanced Applications,DASFAA,,,B
IEEE Conference on Multimedia Information Processing and Retrieval,,,,
IEEE Internatonal Conference on Mobile Adhoc and Sensor Systems,,,,
Advances in Geographic Information Systems,SIGSPATIAL,07/06/2025,,A
"International Conference on Computing, Networking and Communications",,,,
International Conference on Automated Planning and Scheduling,ICAPS,,,A*
Tools and Algorithms for Construction and Analysis of Systems,TACAS,,,A
Mobile Computing Systems and Applications,HOTMOBILE,,,National: USA
International Symposium/Conference on Music Information Retrieval,,,,
International Conference on Computer Communications and Networks,,,,
"International Colloquium on Automata, Languages and Programming",,,,
Technical Symposium on Computer Science Education,,29/08/2025,,
"ACM Conference on User Modeling, Adaptation and Personalization",UMAP,31/01/2025,,B
IEEE International Symposium on World of Wireless Mobile and Multimedia Networks,,,,
"International Symposium on Research in Attacks, Intrusions and Defenses",RAID,,,A
Information Processing in Sensor Networks,IPSN,,,A*
European Symposium on Research in Computer Security,,,,
Algorithmic Learning Theory,ALT,,,B
IEEE High Performance Extreme Computing Conference,HPEC,07/07/2024,23/09/2024,
Requirements Engineering,RE-SAC,20/09/2024,31/03/2025,
International Conference on Natural Language Generation,,,,
Workshop on Applications of Signal Processing to Audio and Acoustics,,,,
IEEE Symposium on Security and Privacy Workshops,,,,
Hawaii International Conference on System Sciences,Gamification,15/06/2024,07/01/2025,
